Category,Price,Product URL,Product Name,ProductCode,Brand,EAN,Description,Stock_status,Delivery Time,Shipping_cost,Product_id,Condition,Bundle,Colour,Gender,Size
Kök/Spishällar/Gashällar,12795,https://hemmy.se/kok/hallar/gashallar/SMEG-SR975NGH,SMEG - SR975NGH | FRI hemleverans,SR975NGH,SMEG,8017709200169,SMEG - SR975NGH | FRI hemleverans,Nej,Beställningsvara.,0,3461,ny,,,,
Kök/Spisar/Gasspisar,47995,https://hemmy.se/kok/spisar/gasspisar/bertazzoni-mas96l2enet,Bertazzoni - MAS96L2ENET | FRI hemleverans,MAS96L2ENET,Bertazzoni,8059304881992,Bertazzoni - MAS96L2ENET | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,15651,ny,,,,
Tvättstuga/Torkskåp,11994,https://hemmy.se/tvattstuga/torkskap/cylinda-ts-2190-v-titan,Cylinda - TS 2190 V titan | FRI hemleverans,9205248,Cylinda,7330095607895,Cylinda - TS 2190 V titan | FRI hemleverans,Nej,Beställningsvara.,0,9633,ny,,,,
Kök/Spishällar/Tillbehör,725,https://hemmy.se/tillbehor_till_hallar/Electrolux-KS60,Electrolux - KS60,949480331,Electrolux,7332543113880,Electrolux - KS60,Ja,I lager. Leverans 1-5 dagar.,39,2485,ny,,,,
Kök/Köksfläktar/Tillbehör och filter till köksfläktar,265,https://hemmy.se/tillbehor-till-koksflaktar/Electrolux-TYPE30,Electrolux - TYPE30 Kolfilter,942121983,Electrolux,7392319039448,Electrolux - TYPE30 Kolfilter,Ja,I lager. Leverans 1-5 dagar.,39,2367,ny,,,,
Kök/Köksfläktar/Underbyggnadsfläktar,5385,https://hemmy.se/kok/koksflaktar/underbyggnadsflaktar/F622-1066cm,Franke - F622-10 66cm | FRI frakt,,Franke,7612985542975,Franke - F622-10 66cm | FRI frakt,Nej,Beställningsvara.,0,7211,ny,,,,
Trädgård/Bevattning/Slangvindor,499,https://hemmy.se/tradgard/bevattning/Slangvindor/gardena-aquaroll-s,Gardena - AquaRoll S,18500-20,Gardena,4078500033084,Gardena - AquaRoll S,Nej,Beställningsvara.,39,7693,ny,,,,
Kök/Kombinerade kyl-frysar/Kyl över frysar,6024,https://hemmy.se/kok/kombinerade-kylfrysar/kyl-over-frysar/gram-kf-4366-90-n1,Gram - KF 4366-90 N/1 | FRI frakt,1190874,GRAM,5709708231659,Gram - KF 4366-90 N/1 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,12705,ny,,,,
Träning & fitness/Löpband,5790,https://hemmy.se/traningsmaskiner/lopband/gymstick-tm-run20,Gymstick - TM-RUN 2.0 | FRI frakt,95069110,Gymstick,,Gymstick - TM-RUN 2.0 | FRI frakt,Nej,Beställningsvara.,0,11535,ny,,,,
Grillar & utekök/Tillbehör till grillar,449,https://hemmy.se/grill-tillbehor/napoleon-varmehylla-klotgrillar,Napoleon - Värmehylla klotgrillar,71022NA,Napoleon,0629162710222,Napoleon - Värmehylla klotgrillar,Ja,I lager. Leverans 1-5 dagar.,39,9222,ny,,,,
Hem & hushåll/Köksapparater,5995,https://hemmy.se/hem-o-hushall/koksapparater/smeg-sjf01bleu,SMEG - SJF01BLEU | FRI frakt,SJF01BLEU,SMEG,8017709224325,SMEG - SJF01BLEU | FRI frakt,Nej,Beställningsvara.,0,4150,ny,,,,
Klimat & värme/Luftavfuktare,9999,https://hemmy.se/klimat-o-varme/luftavfuktare/Arctus Fresh-D-800-Sorptionsavfuktare,Arctus - Fresh D-800 Sorptionsavfuktare | FRI frakt,D-800,Arctus,7318117200163,Arctus - Fresh D-800 Sorptionsavfuktare | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,13687,ny,,,,
